Name,Type,Latitude,Longitude,Location,wikilink,pic,Year
Panama Canal,Seven Wonders of the Industrial World,9.08,-79.68,Panama,http://en.wikipedia.org/wiki/Panama_Canal,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/288px-Panama_Canal_Map_EN.png,1881
Brooklyn Bridge,Seven Wonders of the Industrial World,40.70555556,-73.99638889,"New York, United States",http://en.wikipedia.org/wiki/Brooklyn_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Brooklyn_Bridge_Postdlf.jpg/280px-Brooklyn_Bridge_Postdlf.jpg,1869
Bell Rock Lighthouse,Seven Wonders of the Industrial World,56.43416667,-2.387222222,United Kingdom,http://en.wikipedia.org/wiki/Bell_Rock_Lighthouse,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bell_Rock_Lighthouse.jpg/220px-Bell_Rock_Lighthouse.jpg,1807
SS Great Eastern,Seven Wonders of the Industrial World,51.48861111,-0.005555556,"London, England",http://en.wikipedia.org/wiki/SS_Great_Eastern,https://upload.wikimedia.org/wikipedia/commons/0/02/Great_Eastern_SLV_AllanGreen.jpg,1858
London sewerage system,Seven Wonders of the Industrial World,51.50722222,-0.105833333,"London, England",http://en.wikipedia.org/wiki/London_sewerage_system,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Hering_lon-sewer-det02_1882.jpg/800px-Hering_lon-sewer-det02_1882.jpg,1858
First Transcontinental Railroad,Seven Wonders of the Industrial World,38.92334917,-121.0700961,United States,http://en.wikipedia.org/wiki/First_Transcontinental_Railroad,https://heritagemachines.com/wp-content/uploads/2023/05/OG-xx-08.jpg_amd.jpg,1869
Maya civilization,USA Today's New Seven Wonders,20.68277778,-88.56861111,Mexico,http://en.wikipedia.org/wiki/Maya_civilization,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/800px-Chichen_Itza_3.jpg,2600 BC
Papahānaumokuākea Marine National Monument,USA Today's New Seven Wonders,25.7,-171.7333333," Honolulu County, Hawaii ,United States ",http://en.wikipedia.org/wiki/Papah%C4%81naumoku%C4%81kea_Marine_National_Monument,https://riosdelplaneta.com/wp-content/uploads/2020/07/MONUMENTO-NACIONAL-MARINO-DE-PAPAHANAUKUAKEA-1.jpg,Natural
Polar ice cap,USA Today's New Seven Wonders,89.9999,0.0,Poles,http://en.wikipedia.org/wiki/Polar_ice_cap#Earth,https://th.bing.com/th/id/OIP.OdaIFPDqY_UU2dfbxanOOwHaE8?rs=1&pid=ImgDetMain,Natural
Old City Of Jerusalem,USA Today's New Seven Wonders,31.77666667,35.23416667,Israel,http://en.wikipedia.org/wiki/Old_City_(Jerusalem),https://th.bing.com/th/id/OIP.3kDvmtqFZ-NoXg1u92GsvwHaE7?rs=1&pid=ImgDetMain,Ancient
Maasai Mara,USA Today's New Seven Wonders,-0.51,35.14388889,"Narok County, Kenya",http://en.wikipedia.org/wiki/Maasai_Mara,https://cdn.fstoppers.com/styles/full/s3/photos/2020/10/267cc942057d20d4d8d5b23e6bb4468b.jpg?itok=T_xq8jkg,1961
Potala Palace,USA Today's New Seven Wonders,29.65777778,91.11694444,"Lhasa, Tibet",http://en.wikipedia.org/wiki/Potala_Palace,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg/220px-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg,1645
Angkor Wat,"Temple, Ancient",13.4125,103.8667,"Angkor, Cambodia",https://en.wikipedia.org/wiki/Angkor_Wat,https://th.bing.com/th/id/R.1958e207a091c6e999dabd7cc8cb8716?rik=%2fyqwEYbnt%2bfCBg&riu=http%3a%2f%2fsophiessuitcase.com%2fwp-content%2fuploads%2f2019%2f11%2fangkor-wat-sophies-suitcase.jpg&ehk=5UjfGWBQ8WW9f6dTcExPeyMYoH4s2lLY9oCweVuSw80%3d&risl=&pid=ImgRaw&r=0,1200 AD
